lat_grid,lon_grid,cantidad_siniestros,criticidad_total,severidad_promedio,siniestros_con_muertos,localidad_modal,anios_activos,score_volumen,score_criticidad_total,score_severidad_promedio,score_fatalidad,score_persistencia,IPI,rank_IPI,familia_analitica
4.603,-74.162,13,43,3.3076923076923075,4,BOSA,2,0.9105612282924648,0.9711559961243199,0.9859879257658195,0.9992546769024372,1.0,97.33919654170083,1,Hotspot robusto integral
4.592,-74.142,14,44,3.142857142857143,2,TUNJUELITO,2,0.921033017813222,0.9726839084743236,0.9852426026682567,0.9871431765670418,1.0,97.32205411045689,2,Hotspot robusto integral
4.621,-74.165,12,38,3.1666666666666665,3,KENNEDY,2,0.898077066408288,0.9621003204889319,0.9853544011328911,0.9980621599463367,1.0,96.87187895952896,3,Hotspot robusto integral
4.555,-74.12,22,66,3.0,2,RAFAEL URIBE URIBE,2,0.9660877990608929,0.98878288738168,0.8777297458448238,0.9871431765670418,1.0,96.39487217708877,4,Hotspot robusto integral
4.591,-74.137,11,37,3.3636363636363638,2,TUNJUELITO,2,0.8835059998509354,0.9593426250279496,0.9863605873146009,0.9871431765670418,1.0,96.32704777521056,5,Hotspot robusto integral
4.597,-74.145,12,38,3.1666666666666665,1,KENNEDY,2,0.898077066408288,0.9621003204889319,0.9853544011328911,0.9603860773645375,1.0,96.11835730789296,6,Hotspot robusto integral
4.517,-74.117,15,45,3.0,2,USME,2,0.9300514272937318,0.9741745546694492,0.8777297458448238,0.9871431765670418,1.0,95.38197808750093,7,Hotspot robusto integral
4.609,-74.086,10,32,3.2,1,LOS MARTIRES,2,0.866326302452113,0.9443616307669375,0.9854661995975256,0.9603860773645375,1.0,95.13080420362228,8,Hotspot robusto integral
4.625,-74.147,14,42,3.0,2,KENNEDY,2,0.921033017813222,0.9694044868450473,0.8777297458448238,0.9871431765670418,1.0,95.1062085414027,9,Hotspot robusto integral
4.63,-74.191,9,29,3.2222222222222223,2,BOSA,2,0.8468733696057241,0.9338898412461802,0.9855407319072818,0.9871431765670418,1.0,95.06894238652454,10,Hotspot robusto integral
4.572,-74.151,27,77,2.8518518518518516,4,CIUDAD BOLIVAR,2,0.9782738317060445,0.992285905940225,0.7699187597823657,0.9992546769024372,1.0,94.79466348662145,11,Hotspot robusto integral
4.636,-74.067,37,97,2.6216216216216215,2,CHAPINERO,2,0.9881493627487515,0.9954907952597452,0.759335171796974,0.9871431765670418,1.0,94.60237012745026,12,Hotspot robusto integral
4.611,-74.075,32,86,2.6875,2,SANTA FE,2,0.9847581426548409,0.9942237459938883,0.7639561750018633,0.9871431765670418,1.0,94.6016248043527,13,Hotspot robusto integral
4.597,-74.085,46,116,2.5217391304347827,2,LOS MARTIRES,2,0.9926213013341283,0.9976522322426772,0.7487515838115824,0.9871431765670418,1.0,94.5233658791086,14,Hotspot robusto integral
4.625,-74.165,12,36,3.0,2,KENNEDY,2,0.898077066408288,0.9566594618767236,0.8777297458448238,0.9871431765670418,1.0,94.39218901393754,15,Hotspot robusto integral
4.599,-74.145,68,160,2.3529411764705883,4,KENNEDY,2,0.9974286353134083,0.9995528061414624,0.7232615338749347,0.9992546769024372,1.0,94.38995304464486,16,Hotspot robusto integral
4.587,-74.086,22,60,2.727272727272727,4,SAN CRISTOBAL,2,0.9660877990608929,0.9856525303719162,0.7662666766043079,0.9992546769024372,1.0,94.34523365879109,17,Hotspot robusto integral
4.619,-74.161,8,26,3.25,2,KENNEDY,2,0.8238801520459119,0.9192069762241932,0.9856525303719162,0.9871431765670418,1.0,94.31765670418126,18,Hotspot robusto integral
4.555,-74.138,32,78,2.4375,4,CIUDAD BOLIVAR,2,0.9847581426548409,0.9925840351792502,0.733472460311545,0.9992546769024372,1.0,94.20138630096146,19,Hotspot robusto integral
4.546,-74.137,41,101,2.4634146341463414,2,CIUDAD BOLIVAR,2,0.9905343966609526,0.9959007229634046,0.7353357680554521,0.9871431765670418,1.0,94.17828128493703,20,Hotspot robusto integral
4.507,-74.113,7,27,3.857142857142857,4,USME,2,0.7936573004397406,0.9243869717522546,0.9906089289707088,0.9992546769024372,1.0,94.15815756130283,21,Hotspot robusto integral
4.683,-74.098,25,65,2.6,2,ENGATIVA,2,0.974659014682865,0.9882238950585078,0.7553849593798911,0.9871431765670418,1.0,94.1082209137661,22,Hotspot robusto integral
4.684,-74.097,19,53,2.789473684210526,3,ENGATIVA,2,0.9542744279645227,0.9814041887158083,0.7685399120518744,0.9980621599463367,1.0,94.04561377357086,23,Hotspot robusto integral
4.553,-74.137,31,73,2.3548387096774195,4,CIUDAD BOLIVAR,2,0.9835656256987404,0.9913542520682715,0.723336066184691,0.9992546769024372,1.0,93.9502124170828,24,Hotspot robusto integral
4.583,-74.113,12,36,3.0,1,RAFAEL URIBE URIBE,2,0.898077066408288,0.9566594618767236,0.8777297458448238,0.9603860773645375,1.0,93.85704702988745,25,Hotspot robusto integral
4.567,-74.094,8,26,3.25,1,SAN CRISTOBAL,2,0.8238801520459119,0.9192069762241932,0.9856525303719162,0.9603860773645375,1.0,93.78251472013118,26,Hotspot robusto integral
4.564,-74.125,24,60,2.5,2,RAFAEL URIBE URIBE,2,0.9722739807706641,0.9856525303719162,0.7423418051725423,0.9871431765670418,1.0,93.74822985764328,27,Hotspot robusto integral
4.73,-74.101,29,69,2.3793103448275863,2,SUBA,2,0.9814787210255645,0.9899008720280241,0.7246776477603041,0.9871431765670418,1.0,93.66400834761869,28,Hotspot robusto integral
4.625,-74.152,7,25,3.5714285714285716,2,KENNEDY,2,0.7936573004397406,0.9138779160766192,0.9878884996646046,0.9871431765670418,1.0,93.65133785496012,29,Hotspot robusto integral
4.602,-74.092,7,25,3.5714285714285716,2,LOS MARTIRES,2,0.7936573004397406,0.9138779160766192,0.9878884996646046,0.9871431765670418,1.0,93.65133785496012,29,Hotspot robusto integral
4.568,-74.126,20,52,2.6,2,RAFAEL URIBE URIBE,2,0.9585600357755086,0.9805470671536111,0.7553849593798911,0.9871431765670418,1.0,93.63270477752104,31,Hotspot robusto integral
4.57,-74.095,27,69,2.5555555555555554,1,SAN CRISTOBAL,2,0.9782738317060445,0.9899008720280241,0.7501676976969516,0.9603860773645375,1.0,93.57456957591114,32,Hotspot robusto integral
4.666,-74.093,57,129,2.263157894736842,3,BARRIOS UNIDOS,2,0.995453529104867,0.998658418424387,0.6821942311992248,0.9980621599463367,1.0,93.48736677349632,33,Hotspot robusto integral
4.551,-74.137,25,63,2.52,1,CIUDAD BOLIVAR,2,0.974659014682865,0.987478571960945,0.7486770515018261,0.9603860773645375,1.0,93.42401431020348,34,Hotspot robusto integral
4.608,-74.141,19,49,2.5789473684210527,2,KENNEDY,2,0.9542744279645227,0.9780129686218976,0.7514347469628084,0.9871431765670418,1.0,93.41730640232541,35,Hotspot robusto integral
4.617,-74.186,10,30,3.0,2,BOSA,2,0.866326302452113,0.9378027875083849,0.8777297458448238,0.9871431765670418,1.0,93.38004024744727,36,Hotspot robusto integral
4.7,-74.132,10,30,3.0,2,FONTIBON,2,0.866326302452113,0.9378027875083849,0.8777297458448238,0.9871431765670418,1.0,93.38004024744727,36,Hotspot robusto integral
4.624,-74.19,7,23,3.2857142857142856,2,BOSA,2,0.7936573004397406,0.9000149064619513,0.9858388611463069,0.9871431765670418,1.0,93.3330848923008,38,Hotspot robusto integral
4.562,-74.144,7,23,3.2857142857142856,2,CIUDAD BOLIVAR,2,0.7936573004397406,0.9000149064619513,0.9858388611463069,0.9871431765670418,1.0,93.3330848923008,38,Hotspot robusto integral
