LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI
4.576,-74.155,108,296,2.740740740740741,CIUDAD BOLIVAR,VERONA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS,100.0,60.0,102.0,34.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,32,58,18,772,83.0,11.0,72.0,0.9832749562171629,0.9951838879159369,0.835318155283129,1.0,1.0,96.27553998832458,1,Prioridad 1 - Intervención prioritaria
4.602,-74.081,96,244,2.5416666666666665,SANTA FE,VOTO NACIONAL,AVENIDA CARACAS,ATROPELLO,CON HERIDOS,102.0,44.0,46.0,52.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,32,54,10,552,135.0,53.0,82.0,0.9795096322241681,0.992148277875073,0.8176882661996497,1.0,0.9995621716287215,95.77816695855225,2,Prioridad 1 - Intervención prioritaria
4.602,-74.077,94,238,2.5319148936170213,SANTA FE,LA CAPUCHINA,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS,64.0,64.0,62.0,48.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,28,60,6,478,141.0,77.0,64.0,0.9788674839462931,0.991768826619965,0.8171044950379451,1.0,0.9967308814944542,95.68943374197315,3,Prioridad 1 - Intervención prioritaria
4.605,-74.075,86,206,2.395348837209302,SANTA FE,VERACRUZ,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS,32.0,60.0,50.0,64.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,32,48,6,422,197.0,103.0,94.0,0.9745475773496789,0.9884413309982487,0.7945125510799766,1.0,0.9967308814944542,95.08464681844717,4,Prioridad 1 - Intervención prioritaria
4.642,-74.191,24,80,3.3333333333333335,BOSA,EL CORZO I,SIN_NMG,CHOQUE,CON HERIDOS,18.0,12.0,18.0,32.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,0,20,4,200,1176.0,548.0,628.0,0.8427904261529481,0.9298015178050204,0.9885288966725044,1.0,0.9885872737886748,94.99416228838295,5,Prioridad 1 - Intervención prioritaria
4.607,-74.13,60,152,2.533333333333333,PUENTE ARANDA,TEJAR,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,CON HERIDOS,48.0,30.0,36.0,38.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,24,26,10,404,366.0,117.0,249.0,0.953035610040864,0.9785172212492703,0.8171628721541155,1.0,0.9995621716287215,94.96555750145944,6,Prioridad 1 - Intervención prioritaria
4.611,-74.075,182,422,2.318681318681319,SANTA FE,SANTA FE,AVENIDA CARACAS,CHOQUE,CON HERIDOS,84.0,100.0,124.0,114.0,4,Hotspot severo,Prioridad 1 - Revisión urgente por severidad,66,112,4,726,28.0,17.0,11.0,0.9947168709865732,0.9983946293053123,0.7533566841798015,1.0,0.9885872737886748,94.70110916520724,7,Prioridad 1 - Intervención prioritaria
4.576,-74.12,92,236,2.5652173913043477,RAFAEL URIBE URIBE,QUIROGA SUR,AVENIDA CARACAS,ATROPELLO,CON HERIDOS,58.0,38.0,46.0,94.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,22,68,2,412,144.0,113.0,31.0,0.9781377699941622,0.9915061295971979,0.8193812025685931,1.0,0.9427904261529481,94.63631056625802,8,Prioridad 1 - Intervención prioritaria
4.618,-74.17,48,132,2.75,KENNEDY,CASABLANCA,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,CON HERIDOS,34.0,34.0,40.0,24.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,10,34,4,280,503.0,271.0,232.0,0.9338879159369528,0.9702276707530648,0.8360478692352598,1.0,0.9885872737886748,94.57501459427904,9,Prioridad 1 - Intervención prioritaria
4.512,-74.115,68,160,2.3529411764705883,USME,LA ANDREA,AVENIDA CARACAS,CHOQUE,CON HERIDOS,42.0,48.0,38.0,32.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,26,38,4,316,341.0,206.0,135.0,0.961646234676007,0.9800642148277875,0.7924693520140105,1.0,0.9885872737886748,94.45534150612961,10,Prioridad 1 - Intervención prioritaria
